Time,CasingPressure,FlowRate,LinePressure,StaticPressure,TubingPressure,Qmin
1443154899,561.498,951.143,330.227,268.522,218.945,105.143
1443155078,561.59,928.628,331.323,268.205,219.128,105.628
1443155257,561.682,948.516,332.237,268.639,219.403,105.516
1443155441,561.773,931.646,333.242,268.772,219.22,105.646
1443155621,561.956,987.1,334.247,269.113,218.945,105.1
1443155800,561.865,949.106,335.07,268.936,218.487,105.106
1443155979,562.048,973.568,335.983,269.621,218.945,105.568
1443156159,562.139,934.594,337.08,268.76,218.487,105.594
1443156338,562.323,937.16,338.176,269.126,218.761,105.16
1443156517,562.414,1015.555,338.998,268.89,219.494,105.555
1443156701,562.323,992.704,339.729,268.548,218.487,105.704
1443156880,562.597,914.527,341.009,268.043,216.654,105.527
1443157060,562.78,941.352,342.014,267.765,215.464,105.352
1443157239,562.597,910.857,342.745,267.033,214.273,104.857
1443157418,562.78,910.374,343.75,267.568,213.173,105.374
1443157599,563.055,1016.95,344.572,267.279,212.624,104.95
1443157782,563.422,992.236,345.76,266.886,211.799,105.236
1443157961,563.33,902.296,346.857,266.226,210.975,105.296
1443158140,563.513,1018.739,347.862,265.975,210.333,105.739
1443158319,563.33,990.06,348.684,265.611,209.967,105.06
1443158499,563.605,1018.269,348.958,265.137,209.784,105.269
1443158677,563.88,1006.23,349.233,264.555,209.875,105.23
1443158857,564.154,995.282,348.958,264.462,209.234,105.282
1443159041,564.063,923.045,348.684,265.265,208.685,105.045
1443159220,564.154,1012.508,348.319,266.136,208.043,105.508
1443159400,564.337,997.578,347.953,267.421,207.219,105.578
1443159579,564.612,955.779,347.771,267.707,206.486,105.779
1443159758,564.337,1014.887,347.496,269.08,205.936,104.887
1443159948,564.612,933.609,347.314,269.622,205.478,105.609
1443160121,564.704,983.748,347.039,269.974,204.654,105.748
1443160301,564.887,919.861,346.948,270.514,205.478,104.861
1443160479,564.979,1003.076,346.491,270.573,204.196,105.076
1443160659,565.07,917.883,345.76,270.567,204.012,104.883
1443160838,564.979,965.702,345.486,269.84,203.646,105.702
1443161018,565.253,914.266,344.39,269.567,203.005,105.266
1443161202,565.162,936.977,344.207,269.296,204.196,104.977
1443161381,565.345,964.922,344.298,269.211,205.478,104.922
1443161560,565.436,1010.17,343.659,268.462,205.936,105.17
1443161739,565.62,1009.472,343.75,267.81,207.31,105.472
1443161918,565.894,1010.1,343.293,267.761,207.952,105.1
1443162098,565.803,1016.404,342.745,268.449,209.051,105.404
1443162282,565.986,948.025,342.471,268.953,208.959,105.025
1443162461,566.261,874.887,342.288,270.311,209.967,104.887
